latitude,longitude,speed,sats
28.072793, -16.691968, 56.4, 4
28.072793, -16.691968, 56.4, 4
28.072793, -16.691968, 56.4, 4
28.072793, -16.691968, 56.4, 4
28.072768, -16.691983, 56.4, 4
28.072768, -16.691983, 56.4, 4
28.072768, -16.691983, 56.4, 4
28.072768, -16.691983, 56.4, 4
28.072743, -16.691997, 56.6, 4
28.072743, -16.691997, 56.6, 4
28.072743, -16.691997, 56.6, 4
28.072743, -16.691997, 56.6, 4
28.072719, -16.692013, 56.7, 4
28.072719, -16.692013, 56.7, 4
28.072719, -16.692013, 56.7, 4
28.072719, -16.692013, 56.7, 4
28.072694, -16.692029, 56.8, 4
28.072694, -16.692029, 56.8, 4
28.072694, -16.692029, 56.8, 4
28.072694, -16.692029, 56.8, 4
28.072669, -16.692045, 56.8, 4
28.072669, -16.692045, 56.8, 4
28.072669, -16.692045, 56.8, 4
28.072669, -16.692045, 56.8, 4
28.072644, -16.692062, 56.8, 4
28.072644, -16.692062, 56.8, 4
28.072644, -16.692062, 56.8, 4
28.072644, -16.692062, 56.8, 4
28.072620, -16.692079, 57.1, 4
28.072620, -16.692079, 57.1, 4
28.072620, -16.692079, 57.1, 4
28.072620, -16.692079, 57.1, 4
28.072595, -16.692096, 57.0, 4
28.072595, -16.692096, 57.0, 4
28.072595, -16.692096, 57.0, 4
28.072595, -16.692096, 57.0, 4
28.072571, -16.692113, 57.1, 4
28.072571, -16.692113, 57.1, 4
28.072571, -16.692113, 57.1, 4
28.072571, -16.692113, 57.1, 4
28.072547, -16.692130, 56.9, 4
28.072547, -16.692130, 56.9, 4
28.072547, -16.692130, 56.9, 4
28.072547, -16.692130, 56.9, 4
28.072524, -16.692149, 57.2, 4
28.072524, -16.692149, 57.2, 4
28.072524, -16.692149, 57.2, 4
28.072524, -16.692149, 57.2, 4
28.072500, -16.692168, 57.3, 4
28.072500, -16.692168, 57.3, 4
28.072500, -16.692168, 57.3, 4
28.072500, -16.692168, 57.3, 4
28.072477, -16.692188, 57.4, 4
28.072477, -16.692188, 57.4, 4
28.072477, -16.692188, 57.4, 4
28.072477, -16.692188, 57.4, 4
28.072455, -16.692209, 57.6, 4
28.072455, -16.692209, 57.6, 4
28.072455, -16.692209, 57.6, 4
